station,station_name,longitude,latitude
8002672,ÇÕÁ¤¿ª,126.91523,37.550197
8002633,¼­±³µ¿¿¹½ÄÀåÅ¸¿,126.919565,37.553702
9036974,È«´ÀÔ±¸¿ª,126.923467,37.556642
9036973,µ¿±³µ¿»°Å¸®,126.928667,37.558042
9036972,½ÅÃÌ¿À°Å¸®.Çö´¹éÈ­Á¡,126.935898,37.55544
8002640,½ÅÃÌ¿À°Å¸®.2È£¼±½ÅÃÌ¿ª,126.94015,37.55611
8002642,ÀÌ´¿ª,126.944495,37.556652
8501763,¿þµùÅ¸¿,126.951517,37.557092
8501764,¾ÆÇö¿ª,126.954943,37.557293
8501765,ÃæÁ¤·Î¿ª,126.963315,37.560855
8502133,¼­´¹®¿ª»ç°Å¸®,126.966565,37.565578
8502135,¼­¿¿ª»ç¹Ú¹°°.°æÈñ±Ã¾Õ,126.97038,37.569135
9002984,±¤È­¹®.±ÝÈ£¾Æ½Ã¾Æ³ªº»°ü¾Õ,126.974158,37.569985
9001119,Á¾·Î1°¡,126.980328,37.570028
70025,Á¾·Î2°¡,126.985283,37.570033
8871,Á¾·Î3°¡,126.988955,37.570073
9034738,Á¾·Î4°¡.Á¾¹¦,126.996795,37.570467
9033762,Á¾·Î5°¡.±¤Àå½ÃÀ,126.999973,37.570707
9001340,Á¾·Î6°¡.Á¾·Î½ÅÁø½ÃÀ,127.003568,37.570843
8000505,µ¿´¹®,127.013722,37.572253
8000823,µ¿¹¦¾Õ,127.018612,37.573833
8002513,½Å¼³µ¿¿ª,127.025057,37.576158
8002705,¿µÎµ¿»ç°Å¸®,127.029997,37.577592
70034,Á¦±âµ¿¿ª.¼­¿¾à·É½Ã,127.037778,37.578143
8501293,Ã»·®¸®Ã»°ú¹°µµ¸Å½ÃÀ,127.041862,37.578998
8001829,Ã»·®¸®¿ªÈ¯½Â¼¾ÅÍ,127.045722,37.580303
8002143,¼­¿¼º½Éº´¿,127.050898,37.584655
8420,ÈÖ°æµ¿ÀÔ±¸,127.055203,37.587663
